"","race","sex","age","qmin","qmax","q","cmin","cmax","c"
"91","Asian/Pacific Islander","Female",69,0,0,0,7.90874016054488e-07,1.03985545307772e-06,9.1188523064778e-07
"92","Asian/Pacific Islander","Female",74,0,0,0,7.90874016054488e-07,1.03985545307772e-06,9.1188523064778e-07
"93","Asian/Pacific Islander","Female",79,0,0,0,7.90874016054488e-07,1.03985545307772e-06,9.1188523064778e-07
"94","Asian/Pacific Islander","Female",84,0,0,0,7.90874016054488e-07,1.03985545307772e-06,9.1188523064778e-07
"95","Asian/Pacific Islander","Female",85,0,0,0,7.90874016054488e-07,1.03985545307772e-06,9.1188523064778e-07
"96","Asian/Pacific Islander","Male",0,0,0,0,0,0,0
"97","Asian/Pacific Islander","Male",4,0,0,0,0,0,0
"98","Asian/Pacific Islander","Male",9,0,0,0,0,0,0
"99","Asian/Pacific Islander","Male",14,0,0,0,0,0,0
"100","Asian/Pacific Islander","Male",19,4.60240724308442e-07,1.15060141360588e-06,5.75300849782418e-07,0,0,0
"101","Asian/Pacific Islander","Male",24,3.51818530438362e-06,4.49545680339989e-06,3.85045769045408e-06,4.6024072430928e-07,1.15060141359091e-06,5.7530084978108e-07
"102","Asian/Pacific Islander","Male",29,4.43390406916004e-06,4.98814069549646e-06,4.80339516703672e-06,3.97842440946761e-06,5.646053044428e-06,4.42575628233355e-06
"103","Asian/Pacific Islander","Male",34,4.16065892733674e-06,5.10626081475308e-06,4.3686913819116e-06,8.79250906338225e-06,1.06341655766728e-05,9.22913018641669e-06
"104","Asian/Pacific Islander","Male",39,2.77154839281868e-06,3.56341795131183e-06,3.08829625932621e-06,1.31422501943312e-05,1.47947802590087e-05,1.35977812934507e-05
"105","Asian/Pacific Islander","Male",44,3.51153223333553e-06,4.54433348467341e-06,3.98662090708557e-06,1.61092141161001e-05,1.79622166471827e-05,1.6686035535185e-05
"106","Asian/Pacific Islander","Male",49,2.55601358544457e-06,3.0207426263382e-06,2.81161457143441e-06,2.00791768475428e-05,2.1886799013604e-05,2.0672589970927e-05
"107","Asian/Pacific Islander","Male",54,2.05408192294933e-06,3.08112130220511e-06,2.5932776662806e-06,2.28674989919408e-05,2.49074755256373e-05,2.34841463628843e-05
"108","Asian/Pacific Islander","Male",59,1.77079063145509e-06,2.65618477129585e-06,2.36105343490024e-06,2.52655968938642e-05,2.79885200848984e-05,2.60773630787248e-05
